"id";"lemma";"Freq";"MI";"T-score";"logDice"
"2928";"Věra";"48";"1,698";"4,793";"1,324"
"2929";"rockový";"46";"1,824";"4,866";"1,321"
"2930";"psík";"33";"5,392";"5,608";"1,321"
"2931";"mříž";"42";"2,182";"5,052";"1,321"
"2932";"metropole";"55";"1,354";"4,516";"1,32"
"2933";"disk";"43";"2,064";"4,989";"1,318"
"2934";"zpracovávat";"40";"2,421";"5,144";"1,317"
"2935";"dvacetiletý";"40";"2,418";"5,141";"1,317"
"2936";"100";"99";"0,649";"3,606";"1,316"
"2937";"nad";"361";"0,218";"2,667";"1,315"
"2938";"číst";"71";"0,949";"4,06";"1,315"
"2939";"ochranitelsky";"32";"10,671";"5,653";"1,313"
"2940";"šlechetně";"32";"10,493";"5,653";"1,313"
"2941";"znít";"65";"1,059";"4,192";"1,313"
"2942";"dvorně";"32";"10,226";"5,652";"1,313"
"2943";"nízký";"122";"0,52";"3,344";"1,313"
"2944";"málokdy";"36";"3,241";"5,365";"1,313"
"2945";"paranoidně";"32";"10,038";"5,651";"1,313"
"2946";"vypočítavě";"32";"9,939";"5,651";"1,312"
"2947";"uhlazeně";"32";"9,201";"5,647";"1,311"
"2948";"střízlivý";"34";"4,123";"5,496";"1,311"
"2949";"homosexuálně";"32";"8,993";"5,646";"1,311"
"2950";"Richard";"52";"1,451";"4,574";"1,31"
"2951";"František";"98";"0,646";"3,574";"1,309"
"2952";"lipicán";"32";"8,252";"5,638";"1,309"
"2953";"psát";"100";"0,631";"3,543";"1,308"
"2954";"obecenstvo";"34";"4,074";"5,485";"1,308"
"2955";"sklep";"47";"1,712";"4,764";"1,308"
"2956";"otevřený";"81";"0,798";"3,823";"1,308"
"2957";"občansky";"32";"7,893";"5,633";"1,308"
"2958";"hledat";"118";"0,531";"3,343";"1,308"
"2959";"Asie";"43";"2,023";"4,944";"1,307"
"2960";"sova";"34";"4,055";"5,48";"1,307"
"2961";"boss";"35";"3,541";"5,408";"1,306"
"2962";"srozumitelně";"33";"4,892";"5,551";"1,306"
"2963";"útočit";"41";"2,233";"5,041";"1,306"
"2964";"obecní";"63";"1,088";"4,203";"1,305"
"2965";"předejít";"37";"2,895";"5,265";"1,304"
"2966";"nepořádek";"37";"2,894";"5,265";"1,303"
"2967";"doplnit";"99";"0,63";"3,521";"1,303"
"2968";"vojsko";"41";"2,22";"5,028";"1,303"
"2969";"osmnáct";"49";"1,576";"4,653";"1,302"
"2970";"totální";"36";"3,14";"5,319";"1,301"
"2971";"Martin";"150";"0,412";"3,044";"1,301"
"2972";"kdekdo";"34";"3,955";"5,455";"1,3"
"2973";"hrdě";"34";"3,954";"5,455";"1,3"
"2974";"podnikání";"51";"1,467";"4,558";"1,299"
"2975";"socialismus";"37";"2,861";"5,245";"1,299"
"2976";"papež";"40";"2,329";"5,066";"1,299"
"2977";"fretka";"32";"6,576";"5,598";"1,298"
"2978";"závodník";"62";"1,096";"4,189";"1,297"
"2979";"sele";"33";"4,635";"5,513";"1,296"
"2980";"prázdniny";"63";"1,07";"4,158";"1,296"
"2981";"mokrý";"39";"2,463";"5,113";"1,296"
"2982";"noha";"88";"0,705";"3,625";"1,295"
"2983";"legenda";"51";"1,456";"4,538";"1,295"
"2984";"retrívr";"32";"6,209";"5,58";"1,294"
"2985";"etický";"36";"3,077";"5,289";"1,293"
"2986";"komora";"58";"1,195";"4,288";"1,293"
"2987";"Michael";"51";"1,452";"4,532";"1,293"
"2988";"Filip";"54";"1,328";"4,421";"1,293"
"2989";"cílevědomě";"32";"6,164";"5,578";"1,293"
"2990";"židovský";"49";"1,55";"4,609";"1,293"
"2991";"krmení";"35";"3,395";"5,354";"1,293"
"2992";"menšinový";"35";"3,395";"5,354";"1,293"
"2993";"třída";"137";"0,438";"3,066";"1,292"
"2994";"koneckonců";"36";"3,051";"5,276";"1,29"
"2995";"fotograf";"48";"1,597";"4,637";"1,29"
"2996";"vyprávět";"63";"1,057";"4,122";"1,29"
"2997";"skotský";"36";"3,046";"5,273";"1,29"
"2998";"inteligence";"37";"2,796";"5,207";"1,289"
"2999";"ztratit";"82";"0,754";"3,686";"1,288"
"3000";"komentovat";"56";"1,244";"4,323";"1,287"
"3001";"srovnatelně";"33";"4,43";"5,478";"1,287"
"3002";"kam";"102";"0,587";"3,376";"1,287"
