id;lemma;Freq;MI;T-score;logDice;POS;VNP?
3583;polodivoký;26;8,533;5,085;1,011;;
3584;kat;29;3,021;4,722;1,011;N;
3585;unáhleně;26;8,34;5,083;1,011;D;
3586;zeptat;50;0,834;3,104;1,01;V;
3587;průzkum;52;0,775;2,998;1,01;N;
3588;ostýchavě;26;8,114;5,081;1,01;;
3589;nenávistně;26;7,985;5,079;1,01;D;
3590;vážený;32;2,172;4,401;1,009;A;
3591;1600;28;3,518;4,83;1,009;;
3592;tuleně;26;7,708;5,075;1,009;;
3593;lední;30;2,647;4,602;1,009;A;
3594;neboli;34;1,845;4,208;1,008;J;
3595;sledovat;81;0,332;1,852;1,008;V;
3596;Lukáš;58;0,629;2,693;1,008;N;
3597;Helena;39;1,346;3,789;1,007;N;
3598;chvilka;38;1,423;3,865;1,007;N;
3599;hrubián;26;7,35;5,068;1,007;;
3600;přestávka;53;0,741;2,924;1,006;N;
3601;230;29;2,973;4,699;1,006;;
3602;šestnáctiletý;29;2,962;4,694;1,004;A;
3603;vyváženě;26;6,915;5,057;1,004;;
3604;hřbitov;41;1,204;3,623;1,003;N;
3605;nikterak;28;3,439;4,803;1,003;D;
3606;skvělý;70;0,435;2,177;1,003;A;
3607;okrasa;26;6,502;5,043;1,001;N;
3608;vstup;73;0,397;2,055;1;N;
3609;sousedka;28;3,4;4,79;1;N;
3610;1000;33;1,953;4,261;1;;
3611;ohrozit;41;1,194;3,605;1;V;
3612;chata;39;1,324;3,75;0,999;N;
3613;zaujatě;26;6,248;5,032;0,998;;
3614;krajní;30;2,572;4,556;0,998;A;
3615;přiznat;66;0,479;2,295;0,998;V;
3616;panelový;31;2,311;4,446;0,997;A;
3617;negativní;41;1,186;3,59;0,997;A;
3618;zbohatlík;26;6,1;5,025;0,996;N;
3619;suchozemský;26;6,03;5,021;0,996;;
3620;chytat;35;1,67;4,057;0,995;V;
3621;poražený;32;2,093;4,331;0,994;A;
3622;pouštět;35;1,662;4,047;0,993;V;
3623;ptáček;27;4,054;4,883;0,993;N;
3624;muzikant;37;1,461;3,873;0,993;N;
3625;bachař;26;5,808;5,008;0,992;N;
3626;zdůraznit;44;1,018;3,359;0,992;V;
3627;vystupování;28;3,295;4,752;0,991;N;
3628;všímat;30;2,524;4,525;0,991;V;
3629;nemovitost;46;0,93;3,223;0,99;N;
3630;služebnictvo;26;5,661;4,998;0,99;N;
3631;akcie;56;0,638;2,674;0,99;N;
3632;lokální;32;2,069;4,309;0,989;A;
3633;somálský;26;5,592;4,993;0,989;A;
3634;hrozit;84;0,281;1,622;0,989;V;
3635;přijatelný;35;1,643;4,022;0,988;A;
3636;předvídatelný;27;3,943;4,858;0,987;A;
3637;všeobecně;30;2,499;4,508;0,987;D;
3638;volit;47;0,886;3,146;0,987;V;
3639;užovka;26;5,502;4,986;0,987;N;
3640;ukazovat;59;0,574;2,52;0,987;V;
3641;hlídat;38;1,362;3,767;0,987;V;
3642;pověst;38;1,361;3,765;0,987;N;
3643;starostlivý;26;5,417;4,98;0,986;A;
3644;směle;27;3,908;4,85;0,985;D;
3645;klást;41;1,156;3,53;0,985;V;
3646;profesní;31;2,24;4,389;0,985;A;
3647;zavřený;33;1,884;4,188;0,984;A;
3648;výrostek;26;5,329;4,972;0,984;N;
3649;tchyně;27;3,867;4,84;0,983;N;
3650;180;34;1,741;4,086;0,983;C;
3651;sluha;27;3,853;4,837;0,982;N;
3652;zůstat;131;0,062;0,484;0,982;V;
3653;uvidět;65;0,464;2,215;0,98;V;
3654;pověstný;29;2,752;4,586;0,98;A;
3655;vládnout;40;1,201;3,573;0,98;V;
3656;zběsile;26;5,128;4,953;0,979;D;
3657;zacházet;29;2,748;4,583;0,979;V;
3658;dostat;324;-0,134;-1,758;0,979;V;
3659;zklidnit;28;3,157;4,698;0,979;V;
3660;předstírat;28;3,154;4,697;0,978;V;
3661;sebevědomí;33;1,857;4,159;0,978;N;
3662;čtvrtina;41;1,137;3,491;0,978;C;
3663;Robert;46;0,897;3,14;0,975;N;
3664;nakažený;29;2,716;4,566;0,975;A;
3665;NHL;44;0,979;3,268;0,975;B;
3666;Hluboká;29;2,714;4,565;0,975;;
3667;Pardubice;79;0,3;1,67;0,975;N;
3668;Maďarsko;38;1,323;3,701;0,974;N;
